Tue, 08 Aug 2017 16:03:03 lagouetl.py[line:104] INFO COPY pageno 52, insert count: 41765 current offset: 52000
Tue, 08 Aug 2017 16:03:30 lagouetl.py[line:104] INFO COPY pageno 53, insert count: 42371 current offset: 53000
Tue, 08 Aug 2017 16:03:58 lagouetl.py[line:104] INFO COPY pageno 54, insert count: 43108 current offset: 54000
Tue, 08 Aug 2017 16:04:26 lagouetl.py[line:104] INFO COPY pageno 55, insert count: 43901 current offset: 55000
Tue, 08 Aug 2017 16:04:54 lagouetl.py[line:104] INFO COPY pageno 56, insert count: 44782 current offset: 56000
Tue, 08 Aug 2017 16:05:22 lagouetl.py[line:104] INFO COPY pageno 57, insert count: 45708 current offset: 57000
Tue, 08 Aug 2017 16:05:51 lagouetl.py[line:104] INFO COPY pageno 58, insert count: 46642 current offset: 58000
Tue, 08 Aug 2017 16:06:18 lagouetl.py[line:104] INFO COPY pageno 59, insert count: 47488 current offset: 59000
Tue, 08 Aug 2017 16:06:47 lagouetl.py[line:104] INFO COPY pageno 60, insert count: 48351 current offset: 60000
Tue, 08 Aug 2017 16:07:15 lagouetl.py[line:104] INFO COPY pageno 61, insert count: 49299 current offset: 61000
Tue, 08 Aug 2017 16:07:43 lagouetl.py[line:104] INFO COPY pageno 62, insert count: 50243 current offset: 62000
Tue, 08 Aug 2017 16:08:11 lagouetl.py[line:104] INFO COPY pageno 63, insert count: 51171 current offset: 63000
Tue, 08 Aug 2017 16:08:39 lagouetl.py[line:104] INFO COPY pageno 64, insert count: 51951 current offset: 64000
Tue, 08 Aug 2017 16:09:08 lagouetl.py[line:104] INFO COPY pageno 65, insert count: 52724 current offset: 65000
Tue, 08 Aug 2017 16:09:35 lagouetl.py[line:104] INFO COPY pageno 66, insert count: 53507 current offset: 66000
Tue, 08 Aug 2017 16:10:03 lagouetl.py[line:104] INFO COPY pageno 67, insert count: 54260 current offset: 67000
Tue, 08 Aug 2017 16:10:31 lagouetl.py[line:104] INFO COPY pageno 68, insert count: 55077 current offset: 68000
